"text","label"
"Màu chuẩn nhưng chất son lỏng gây lộ vân môi, mùi hương thơm nhẹ","Neutral"
"Áo đẹp lắm shop👍👍👍","Positive"
"Sẽ ủng hộ nữa 👍🏻","Positive"
"áo cũng đẹp chỉ là hơi bé chút","Positive"
"áo đẹp. chị chủ tư vấn nhiệt tình. tạo điều kiện trong việc đổi trả hàng. nói chung là ưng cách phục vụ 5*","Positive"
"Chất lượng sản phẩm tạm được","Positive"
"Hàng đẹp, y chang hình người mẫu mặc, khác mỗi là chiều cao của mình không như mẫu :))))","Positive"
"Rất hài lòng","Positive"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Shop phục vụ rất tốt Thời gian giao hàng rất nhanh","Positive"
"M đặt quần 2 quần, một quần rộng như size L, chắc do đính nhầm size","Neutral"
"Vẫn ưng như ngày đầu Chất lượng sản phẩm tuyệt vời Rất đáng tiền","Positive"
"Hài lòng","Positive"
"Shop phục vụ nhiệt tình","Neutral"
"Hàng rất đẹp","Positive"
"Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh","Positive"
"Ngoài shop chắc phải tầm 100k","Positive"
"Hơi dài nữa","Positive"
"Giá cả chấp nhận được","Neutral"
"Sẽ ủng hộ shop lâu dài","Positive"
"Chất ko đẹp","Negative"
"Lần này giao hàng hơi chậm, nhưng vẫn cho 5 sao vì chất lượng sản phẩm cũng như sự nhiệt tình của shop 😊","Positive"
"Sét chip chất lượng tuyệt vời luôn","Positive"
"Hàng đẹp quá nên chả biết nói gì h , thôi cứ cho 5 sao đã , sẽ ủng hộ shop dài dài :))","Positive"
"Giao hàng rất nhanh","Positive"
"Thời gian giao hàng rất nhanh, sp đẹp","Positive"
"Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"Vải cotton chắc có pha xíu nhỉ nhưng thấy khá thoáng, in cũng ổn, mình giặt máy tầm 10 lần hơn quay mòng mòng cũng không thấy bung bét với hơi xù xù một tý ngay lần giặt đầu rồi về sau không có nữa","Positive"
"Mình check thì thấy shop bán hàng chuẩn, giao hàng nhanh, đóng gói sản phẩm đẹp","Positive"
"Vãi ok","Positive"
"chất vải dày và nóng","Negative"
"Váy mát nhưng mỏng","Neutral"
"Vải dày đẹp","Positive"
"Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"Rất đáng tiền","Positive"
"San pham tot da dep Chất lượng sản phẩm tuyệt vời","Positive"
"Túi giống như hình","Positive"
"Giống y hình, giao hàng nhanh","Positive"
"Excellent product quality Excellent product quality","Positive"
"Hàng đẹp, vải cũng đẹp","Positive"
"Hơi tệ hơn chiếc kia nha","Negative"
"Dù đã nhắn tin SHop, để lại ghi chú và chọn sản phẩm trên ap , SHop vẫn giao sai màu","Negative"
"shop nhiệt tình","Positive"
"Quá ưng cho cái thái độ và chất lượng 👍","Positive"
"Áo chất mát, dáng hơi dài","Positive"
"Hàng giao ko đúng màu, chất lượng sp được, nhân viên giao hàng rất khó chịu","Negative"
"Chất lượng sản phẩm tạm được Chất lượng sản phẩm tạm được Chất lượng sản phẩm tạm được","Neutral"
"Chất lượng sản phẩm tạm được Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh","Positive"
"Sẽ tiếp tục ủng hộ shop 😘😘😘","Positive"
"Giao San pham bi rach Rất không đáng tiền","Negative"
"ao len ôm dáng mà mịn lắm. mặc nhẹ như không","Positive"
"Nói chung bụng béo thì dùng rất ok và thoải mái","Positive"
"Giao nhanh","Positive"
"Hang k đẹp k mjn","Negative"
"Nói chung ce hoàn toàn có thể yên tâm mua hàng ở shop nhé","Positive"
"Hàg y hìh","Positive"
"Đúng mẫu mình chọn","Positive"
"Áo dày đẹp lắm nha","Positive"
"Đồ rất đẹp, chất vải và cả form áo","Positive"
"Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh","Positive"
"Nhận hàng xong chán luôn","Negative"
"Thời gian giao hàng rất nhanh,","Positive"
"Áo dài tới tận gối không giống hình như váy luôn ý ship 1 trả tiền 2","Negative"
"chất liệu không đẹp lắm","Negative"
"Nói thì nhiều vậy thôi chứ khá ưng ý","Neutral"
"Rất người và y như hình ảnh của sản phẩm","Positive"
"Áo vải mỏng, đường may ko đẹp, cổ tim bị lệch","Negative"
"Huh dùng thích dã man mực ra đều , lì ncl 10/10","Positive"
"Sim dùng rất ok, đây là cái thứ 2 mua về","Positive"
"Quần đẹp quá nên ủng hộ thêm lần nữa","Positive"
"Chất lượng sản phẩm rất ổn, đóng gói đẹp","Positive"
"Chắc chắn sửa xong sẽ dùng đĩa","Negative"
"Giao hàng nhanh","Positive"
"Shop phục vụ rất tốt. 😉😉😉","Positive"
"Cám ơn shop nhiều","Positive"
"Chất lượng sản phẩm rất kém, quần ngắn hơn so với thực tế, vải cứng, ống to, đường may ẩu, Nchung k nên mua, phí tiền 😫","Negative"
"Mặc dù mua về để sửa win nhưng mà còn lỗi bên cạnh là máy bị hư pin rồi nên phải mua pin mới cài được","Negative"
"Chất đẹp, ấm, mặc thik lắm","Positive"
"Bộ ngủ không giống trong hình","Negative"
"Giao hàng thiếu, đang đợi shop trả hàng","Negative"
"Hok giống như hình một chút nào:)","Negative"
"Loại quần viền thể thao size hơi nhỏ hơn so với bảng tư vấn size , các mẹ bỉm nên tăng thêm 1 size khi đặt hàng","Negative"
"Hàng giống hình","Positive"
"sp ok","Positive"
"Đóng gói sản phẩm rất đẹp và chắc chắn, đẹp như trong hình","Positive"
"Cảm ơn shop đã giao hàng đúng như e đã yêu cầu hàng rất đẹp giao hàng nhanh trên dự kién mk sẽ tiêp tục mua bé Bông 1m5 mk mong hàng sẽ đẹp và chất lượng như này.","Positive"
"Ảnh đẹp đóng gói hàng cẩn thận .❤️❤️❤️❤️❤️❤️","Positive"
"Đóng gói sản phẩm rất đẹp và chắc chắn, sản phẩm rất dễ thương, Shop phục vụ rất tốt","Positive"
"màu đỏ chói quá :(","Negative"
"Tay sờ chất rất thích","Positive"
"Lưu ý cho những ai muốn đặt màu trắng (như mình) là màu này nó hơi nhạy cảm một chút, ra sáng thì sẽ bị lộ nội y nên cần lựa áo trong cẩn thận hoặc dùng làm áo lót mặc ở giữa thì phù hợp hơn :)))","Neutral"
"Rất đáng tiền Shop phục vụ rất tốt","Positive"
"Áo rẻ và đẹp, áo màu xám hơi cứng hơn so với các áo khác","Positive"
"Đóng gói cẩn thận chắc chắn tỉ mỉ","Positive"
"Áo này đẹp lắm","Positive"
"Áo mạc form đẹp","Positive"
"M.ng ủng hộ shop đi nhé","Positive"
"Sản phẩm đẹp, mặc ôm","Positive"
"Chủ shop nhiệt tình","Positive"
"3: chất vải dày dặn, co dãn vừa phải","Positive"
"Phom áo rộng","Neutral"
"Sho tư vấn rất nhiệt tình nhận được hàng rất ưng , chất vải đẹp , đường may chắc chắn ko chê vào đâu được","Positive"
"Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh","Positive"
"Y hình, vải hơi mỏng hơn so vs tưởng tượng của mình","Positive"
"Mình rất thích","Positive"
"Thật sự mình theo dõi shop khá lâu rồi,nhưng chưa lần nào dám mua do giá quá rẻ","Positive"
"Đóng gói sơ xài, ko cẩn thận, thùng bị rách tùm lum, bị bể mất 2 bịch, pha hạt é hơi nhiều 😥😥","Negative"
"Chất vải không được đẹp..","Negative"
"Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"Form hơi to nên các mẹ cân nhắc chọn size bé hơn bth nhé","Neutral"
"Rất thích","Positive"
"Mỗi cái e mặc hơi rộng kích","Negative"
"Sản phẩm phù hợp với giá tiền","Positive"
"Shop cho xem hàng trước khi nhận như lời hứa","Positive"
"Đóng gói cẩn thận mà sao cũg vỡ vụn","Negative"
"Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh chưa dùng nên chưa biết sp có tốt k nếu dùng tốt sẽ ủng hộ tiếp","Positive"
"Thời gian giao hàng rất nhanh Rất đáng tiền Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời","Positive"
"Chúa gét màu hồng nên k ưng xí nao","Negative"
"Hàng xinh, size 35 hơi to hơn Bth mang cứ như size 36 í :< cơ mà K sao giao hàng siu nhanh, hãy đặt hàng của Shop nha có khi đc free ship nữa :)))","Positive"
"Sản phẩm đẹp, giao hàng đúng giờ =)) Đáng đồng tiền Đóng gói sản phẩm chắc chắn","Positive"
"Tất dai, đều màu Chất lượng sản phẩm tuyệt vời","Positive"
"Chung quy rất đáng tiền","Positive"
"Thời gian giao hàng rất nhanh Rất đáng tiền","Positive"
"Lần đầu dùng son của Maybeline và rất ấn tượng","Positive"
"Chất lượng sản phẩm tuyệt vời, shop còn tặng quà dễ thương lắm luôn ý ❤️ lần sau sẽ ủng hộ nữa ^^","Positive"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.chất dày dặn","Positive"
"Lần đầu mua đồ trên shoppe mà gặp trường hợp này!","Negative"
"Thời gian giao hàng rất nhanh","Positive"
"xau te","Negative"
"Gói hàng cẩn thận, hàng ok , thời gian giao hàng quá lâu","Positive"
"Thời gian giao hàng rất nhanh,áo đẹp,ấm,phù hợp vs giá tiền","Positive"
"Găng tay rất mỏng, không có hộp","Negative"
"K chấp nhận đc Chất lượng sản phẩm rất kém","Negative"
"Hqua shop ms gửi mà hnay đã nhận dc lun","Positive"
"Vải mềm","Positive"
"Shop phục vụ rất kém","Negative"
"Shop phục vụ rất kém,đóng hàng sai ,tự ý đổi màu sp,mình mua 1 quần 1 áo xanh rêu,1 áo hồng,shop tự ý gửi 2 cái áo màu vàng ,khi nt cho shop thì bị xóa đơn hàng","Negative"
"Thất vọng","Negative"
"Thanks shop","Neutral"
"Chán","Negative"
"Chất dày dặn , cầm nặng tay","Neutral"
"Thà để tiền mua được cốc trà sữa cho bõ tức. - Đây là lời đánh giá CHÂN THÀNH và CHÍNH XÁC cho các bạn muốn mua sản phẩm này","Negative"
"Sản phẩm lỗi nặng, shop k kiểm tra trước khi gửi hàng","Negative"
"Lâu nay sd thấy loại này vừa ý nhất","Positive"
"Nhưng k giống màu","Negative"
"Shop giao cho em nhầm size..","Negative"
"Áo thì hôi muì keo kinh khủng😱","Negative"
"Rất ưng ý","Positive"
"Giao hàng nhanh","Positive"
"Đặt hàng cái, tầm 2h là shop đi gửi hàng liền, rất nhanh","Positive"
"Giao nhầm size bé cho nữ","Positive"
"Cảm thấy hài lòg về sản phẩm","Positive"
"Ưng ^^","Positive"
"Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"Vẫn yêu kem Swensen's nhất thôi","Positive"
"Chất lượng sản phẩm tuyệt vời","Positive"
"Rộng khiếp, chả mặc đc","Negative"
"Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Thời gian giao hàng rất nhanh","Positive"
"Áo ko co giãn ,mặc nóng quá","Negative"
"Đóng gói tốt","Positive"
"Áo đẹp ^^","Positive"
"Quần rộng quá, free size nhưng có quần quá to, quần quá bé shop ạ","Negative"
"Áo đẹp lắm giốg hình v ạ😍😍😍","Positive"
"Sản phẩm ko đẹp như hình","Negative"
"Mua 2 chiếc của shop..1c rất đẹp còn cái còn lại thì bị lỗi.. nt thì shop k trả lời thật sự thất vọng..đây là em mua hộ bạn nữa mà shop làm nv e kb ns ntn :(( lúc chưa mua thì tư vấn đủ kiểu lúc mua báo hàng bị lỗi là shop lại im lặng như kiểu chưa có gì xảy ra","Neutral"
"Mình lấy hàng mấy lần rồi mà lần nào cũng ưng hết, shop cũng rất nhiệt tình với khách, triệu like luôn 👍","Positive"
"Nhưng vẫn cho 5*","Positive"
"Sản phẩm đẹp nhưng cứng quá","Neutral"
"Mặc đi chơi không được, mặc ở nhà cũng không xong","Negative"
"Túi tuy chất lượng k ok lắm, nhưng shop phục vụ rất ok","Neutral"
"Hài lòng với trải nghiệm 2 lần mua hàng tại shop","Positive"
"Đường may ko chắc chắn , Gấu của mình mua đc 1 tuần đã bị đứt chỉ rồi shop ạ","Negative"
"Sản phẩm rất đẹp nhé, ai còn đắn đo thì mua liền đi, bao đẹp","Positive"
"Túi rất dày cám ơn shop","Positive"
"Lần sau giao hàng shop ktra kĩ 1 tí vì ai nhận hàng cũng muốn nhận đc hoàn hảo","Positive"
"Áo hơi rộng nhưng ok Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"chất nỉ trơn cực mịn ấy ạ thích lắm shop ạ","Positive"
"Giao hàng nhanh chỉ 2 ngày là đến","Positive"
"Chất lượng sản phẩm tạm được Thời gian giao hàng rất nhanh","Positive"
"Vải mền rất đẹp","Positive"
"Hoàn trả tiền vào ví shoppee nhanh. khá hài lòng","Positive"
"Điểm trừ là đặt 2 màu nhưng giao 1 màu","Positive"
"Chất lượng sản phẩm tuyệt vời, Đóng gói sản phẩm rất đẹp và chắc chắn, ao mem, min dep, rat thich","Positive"
"Áo đẹp mà m mặc xoq ko có gương soi ko biết hợp ko nữa @.@","Neutral"
"Áo thun chất mềm mịn, mặc mát, màu đẹp","Positive"
"Mình rất thich sp của shop cũng như sự nhiệt tình của shop","Positive"
"Đôi màu nude bị chật","Neutral"
"Váy xinh, chất vải mát, giao hàng nhanh","Positive"
"Chất len cứng, ren hơi mỏng","Negative"
"Đẹp","Positive"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn date dài Rất đáng tiền","Positive"
"Đep ma hoi rông","Positive"
"Đóng gói sản phẩm tốt","Positive"
"Mình lấy cái màu be mà ngoài này nhìn thành màu xám vậy","Negative"
"Rất đáng tiền","Positive"
"Hàng đẹp lắm","Positive"
"Chưa có cơ hội dùng nhưng thấy may đẹp :)","Positive"
"Nói chung cũng ổn","Positive"
"Chán cách phục vụ của shop, nói chung mọi ng đừng nên mua hàng ở đấy, có thắc mắc nt hỏi, ko thèm trả lời ng mua","Negative"
"Tôi k hề nhận được sản phẩm này","Negative"
"Áo in đẹp quá, sản phẩm gói đẹp","Positive"
"Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh moi dat hom truoc hom sau co hang roi Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"E nhận đc quần r ạ ❤️ mặc thích cực kì","Positive"
"Giấy dai tốt","Positive"
"Dúm vải","Negative"
"Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Thời gian giao hàng rất nhanh","Positive"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Vải mặc mát nhưng mình 45kg mặc size S thì hơi bị rộng chút","Positive"
"I excited about this book","Positive"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền Thời gian giao hàng rất nhanh mùi thơm cực","Positive"
"Chất lượng sản phẩm tuyệt vời","Positive"
"Mùa này mọi người nên tranh thủ ngay muA những mẫu áo len này vừa rẻ lại đẹp sản phẩm quá OK mọi người ạh e rất hài lòng với sản phẩm","Positive"
"Chất lượng ok","Positive"
"Giao hàng nhanh gọn","Positive"
"Thề, vải áo THÔ CỨNG như cái bao ko hiểu phải mặc kiểu gì","Negative"
"Đặt size S giao M","Neutral"
"Mặc vào rất thoải mái","Positive"
"Áo đẹp nhưng lấy về bị chật","Negative"
"Thời gian giao hàng rất nhanh","Positive"
"Phù hợp giá tiền","Positive"
"Mặc dù áo có mùi ghê ghê nhưng mà vẫn đẹp vẫn tốt","Positive"
"Váy rất xinh chất vải mát lịm lun","Positive"
"ko giống như trong hình mua màu vàng thì gửi màu nâu vừa xấu lại còn bẩn xem hàng mà thất vọng quá 😡😡😡😡😡😡😡😨😨😨😨😨😨😨😨","Negative"
"Nhưng shop tư vấn nhiệt tình","Positive"
"Chất lượng sản phẩm tuyệt vời...","Positive"
"Form lên khá ưng, màu đẹp nhưng chất k thấm mồ hôi nên khá bí, nhưng e vẫn cho 5* vì chất lượng phục vụ onl chu đáo, cả vì shipper của GHN đẹp trai nên thích :)))))))","Neutral"
"Vải hơi nóng","Negative"
"Okok..","Positive"
"Size hơi bé so với m nghĩ","Neutral"
"Vải ok","Positive"
"Áo thun co giãn tốt, mịn, mát","Positive"
"hàng shop rất đẹp, Chất lượng sản phẩm tuyệt vời","Positive"
"vải dày dặn. mẫu giống hình. rất đáng tiền","Positive"
"Tay áo k rộng như mình nghĩ chất hơi ngứa chút nhưng sản phẩm rất ok với giá tiền như này thì phù hợp:)) mặc lên form đẹp ncl ưng:))","Positive"
"Thời gian giao hàng nhanh","Positive"
"Form đẹp","Positive"
"Thất vọng với sản phẩm","Negative"
"Đựp dã mannnn","Positive"
"Shop phục vụ rất tốt","Positive"
"K đúng màu","Negative"
"Hàng đẹp lắm luôn á shop","Positive"
"Đẹp","Positive"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng nhanh","Positive"
"Size S hơi nhỏ","Negative"
"đẹp nhưng mà nghe nhỏ xíu","Positive"
"Giày hợp với giá tiền","Positive"
"Áo thi bi loi","Negative"
"Đèn rất sáng , đi mưa và rửa xe vẫn ok , rất đáng tiền","Positive"
"ĐẸP Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh","Positive"
"Mua 5 áo mà 4 chất khác nhau😅😅😅","Negative"
"Giao hàng nhanh, đóng gói cẩn thận, son mới đầu đánh lên màu rất đẹp, chất kem mượt hơi dính nhưng khô nhanh, lì nhưng không hề khô và lộ nhiều vân môi như nhiều son khác, ăn uống các thứ cả ngày đi làm chẳng cần tô lại son vẫn ok :))","Positive"
"Đồ dep","Positive"
"Vừa nhận đã bị gãy rui, shop nên kiểm tra sp kỹ rồi mới gửi cho khách hàng nhé","Negative"
"Chất lượng sản phẩm tuyệt vời thấy bass đập cũng mạnh mà nhiều ông chê chỉ, cái này nghe nhạc lossless( .FLAC) mới đáng chứ nghe Mp3 ko, trách sao như tai nghe thường, muốn bass mạnh hơn tải PowerAMP về tăng Bass lên","Positive"
"Quá ok","Positive"
"K bằng đợt trc mình mua","Positive"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất Rất đáng tiền","Positive"
"Áo logo in to k giống ảnh, logo xấu quá xấu quá thất vọng","Negative"
"Quần quá to, 1quần nằm trên cùng bị rách cũng giao","Negative"
"Ưng lắm shop nhé.","Positive"
"Đẹp, từ dáng áo đến sọc kẻ trên áo","Positive"
"Áo siêu đẹp nghen!","Positive"
"Đóng gói sản phẩm dễ thuơng, giao nhanh","Positive"
"khăn dày dặn, ấm lắm ạ. giao đúng hôm trời trở lạnh lại có đeo.😘😘","Positive"
"Đóng gói sản phẩm đẹp, cẩn thận nên hàng hoá được bảo quản tốt; Dầu ăn rất ngon, đủ các thành phần dưỡng chất; shop rất nhiệt tình, chu đáo với khách hàng; thời gian giao hàng nhanh, shiper thân thiện, nhiệt tình","Positive"
"Chất lượng sản phẩm tuyệt vời.ưng lắm luôn","Positive"
"Mua 2 hộp phấn mắt, hộp 07 Kiss mặt phấn mới, hộp 05 Joy jam mặt phấn như đã qua sử dụng","Negative"
"Mặc ok","Positive"
"Chất vải ổn","Neutral"
"Chất lượng sản phẩm tuyệt vời!!","Positive"
"Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh Rất đáng tiền","Positive"
"Chất lượng sản phẩm tuyệt vời","Positive"
"Chất lượng sản phẩm tạm ổn Thời gian giao hàng rất nhanh","Neutral"
"Vải dày dặn, đẹp i như hình luôn í","Positive"
"Sp hợp vs giá thành Shop phục vụ tốt","Positive"
"Mua hàng lần nào cũng ưng ý lắm ☺️","Positive"
"Shop hãy xem xét lại ạ","Negative"
"Mình đã hỏi rõ có con gấu đi kèm ko, shop trả lời là có v mà gửi hàng thì ko, da túi bt, ko giống hình","Negative"
"Sẽ ủng hộ shop trong thời gian tới <3","Positive"
"Giống hình, đẹp, nhưng giao hàng bị móp hộp ^^","Neutral"
"Căng mịn dã man","Positive"
"Shop phục vụ tận tình","Positive"
":D :D","Positive"
"- Chất lượng sản phẩm tuyệt vời","Positive"
"Màu quá xấu, màu tươi quá nhìn ghê","Negative"
"Thời gian giao hàng rất nhanh.cais màu đỏ vải hơi nóng ,áo sờn như kiểu áo cũ","Positive"
"Áo quá đẹp","Positive"
"Mình nt riêng cho shop mà xem k tl.","Negative"
"K biết có phải hàng giả k nhưng độ thấm hút k bằng loại huggies mình đang dùng","Negative"
"Dây cáo quá ngắn không thể cài nút đc","Negative"
"Thời gian giao hàng rất nhanh.nhung san phẩm bi lỗi","Neutral"
"Áo đẹp, dày dặn ^^ Cảm ơn shop","Positive"
"Chất vải hơi nóng và hơi bị bo gấu một chút","Neutral"
"Rất đáng tiền mà mua sản phẩm trên 200k vẫn k đc miễn phí ship như shop nói","Positive"
"Gối chất lượng ok, hình in đẹp","Positive"
"Quần bị rách 😑😑😑","Negative"
"Áo kem","Negative"
"Áo đẹp, form đẹp, đóng gói cẩn thận nữa :D Mình ưng cực kì ấy","Positive"
"K co giãn","Negative"
"Vải rất mỏng","Neutral"
"Giao hàng nhanh","Positive"
"Áo mỏng so với hình","Negative"
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh, hộp hơi bị móp nên hơi buồn 1 xíu","Neutral"
"Đã vậy ship còn nhanh.","Positive"
"Đặt màu trắng giao màu xanh, còn lại ok","Positive"
"52kg cảm giác hơi nhỏ","Positive"
"Lần sau sẽ ủng hộ shop nữa","Positive"
"Thời gian giao hàng rất nhanh, mỗi tội Size S mà áo vẫn hơi dài","Positive"
"Có điều hoa thêu trên áo không được đẹp, không đậm màu như clip shop đăng","Neutral"
"Đẹp y hình","Positive"
"Bình thường","Neutral"
"Không như quảng cáo","Negative"
"kute dễ thương cực","Positive"
"Chất liệu hơi mỏng .màu nhạt hơn hình","Negative"
"Giao hàng nhanh chóng, gói sản phẩm đẹp","Positive"
"Mua cho con em mà mình nhìn mình còn thích","Positive"
"Hợp giá tiền","Neutral"
"Khi nào có hàng quần lót shop liên hệ giúp mình nhé","Positive"
"Chất lượng sản phẩm tuyệt vời, Thời gian giao hàng rất nhanh Rất đáng tiền","Positive"
"Vải mềm và đẹp lắm","Positive"
"Chất lượng sản phẩm tạm được Giặt phai màu, lem","Negative"
"Lần đầu mua hàng của shop thấy cũng uy tín mà nhận cái áo quá chán ko buồn mặc thử","Negative"
"Mình dùng loại này rất thích, đợt nào shop có chương trình cũng mua, mua về giới thiệu chị hàng xóm chị ấy thích ngay từ đầu","Positive"
"Chất lượng sản phẩm tuyệt vời. 5 sao","Positive"
"Shoppee còn phải học Lazada dài dài","Negative"
"Váy quá rộng so với mình","Negative"
"Chân váy k co giãn mấy","Neutral"
"2 áo phông còn đc.áo len vừa đắt vừa mỏng.vừa cầm vào đã sổ hết chỉ ở nách áo ra rồi","Neutral"
"Cảm ơn shop","Positive"
"Giao sai màu, sai size , áo bầu ngực quá bự, dây áo ko co giãn","Negative"
"Rất đáng tiền","Positive"
"Thời gian giao hàng rất nhanh, đứa e m cũng thích nên khả năng ra tết m sẽ đặt tiếp ^^","Positive"
"Đẹp :)","Positive"
"Chất lượng sản phẩm tuyệt vời.minh rat hai long voi san tham nay.ban gui size vua y voi minh","Positive"
"Chất cứng và thô hơn mình nghĩ","Negative"
"Đóg gói kg đạt.giầy bj dơ chùi kg ra","Negative"
"Chất lượng sản phẩm tạm được. đường chỉ may ko chắc chắn","Neutral"
"Vãi hơi thô..","Negative"
"Đẹp và chất lượng","Positive"
"Gói hàng cẩn thận","Positive"
"Áo đệm mỏng nhé. 3 khuy chắc chắn","Positive"
"Tuyệt vời","Positive"
"sản phâm tốt k lỗi lầm ạ ^^ hộp không bị móp méo như lần trước đẹp k tì vết <3","Positive"
"Sp rất ok, túi kiểu dáng đẹp, da mềm nhưng rất đứng túi","Positive"
"Thời gian giao hàng rất nhanh","Positive"
"Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Shop phục vụ rất tốt Rất đáng tiền Rất đáng tiền","Positive"
"Mình đọc tai zin nên mới mua nhưng k đúng sự thật vì vậy đánh 1 sao cho người khác còn biết để tránh mua nhầm như mình","Negative"
"Shop giao thiếu hàng","Negative"
"Chất da mịn mềm baloch cũng rất là xinh","Positive"
"Việc còn lại của mình là mài dũa cho hợp với đàn","Positive"
"Chủ shop đáng yêu, nhiệt tình, chắc chắn sẽ mua hàng của chị thường xuyên 😘","Positive"
"Chất lượng sản phẩm tuyệt vời.Thanks shop nhe","Positive"
"Thời gian giao hàng nhanh áo k giống như hình","Neutral"
"Sản phẩm phù hợp với giá tiền","Positive"
"Chọn size lớn qá nên mặc hơi rộng","Negative"
"Chất vẫn bị nhăn","Negative"
"Giày đẹp lắm ạ, size chuẩn ❤️","Positive"
"Tôi luôn ủng hộ shop","Positive"
"Sẽ tiếp tục ửng hộ shop 😁😁😁","Positive"
"Chất lượng sản phẩm tạm được, tay áo ngay nách hơi chật","Positive"
"Rất đáng tiền","Positive"
"Chất lượng sản phẩm tuyệt vời ,Đóng gói sản phẩm rất đẹp và chắc chắn","Positive"
"Sản phẩm như hình","Positive"
"Có lưu ý là đặt áo đen rồi mà nhận áo trắng","Negative"
"Sao em đặt 2 size S/M mà áo nó rộng bằng nhau vậy ạ 😌","Negative"
"Rẻ và đẹp so chất lượng","Positive"
"Ko đep lam","Negative"
"3 áo rách 2 áo","Negative"
"Quần cũng được nhưng chất vải mình ko thik, cảm giác nóng nên cho 4 sao","Positive"
"Công nhận là nó nhỏ....chắc chỉ M thôi","Negative"
"Áo chất dày dặn, form đẹp, giao hàng nhanh mặc dù mình ở HN","Positive"
"Chất lượng sản phẩm tốt, tuy nhiên ship quá cao mình đặt tổng đơn hàng gần 200k, ship tới 47k giảm 13k mình thấy vẫn còn cao, trong khi các shop khác tốn ship đã giảm còn 20k","Neutral"
"Chất vải đẹp nhưng dáng váy quá rông","Positive"
"Yêu ❤️❤️❤️💋","Positive"
"Nhìn hơi già","Negative"
"Sản phẩm ko như mong đợi,kém..","Negative"
"Rất không đáng tiền","Negative"
"Vải đẹp nhưng nhầm size shop ạ","Negative"
"Còn ủng hộ shop dài dài <3","Positive"
"Áo đẹp mặc thích","Positive"
"Giá thành nên hạ thêm chút","Negative"
"Được cái in đẹp, kg bong tróc","Negative"
"Bóng hơi bé","Negative"
"Hàng đẹp, giao hàng rất nhanh","Positive"
"Shop tư vấn hỗ trợ nhiệt tình ^^ Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời","Positive"
"Giao hàng hơi chậm","Negative"
"Áo hơi nhỏ nhỉ","Negative"
"Gửi cho mình 1 áo trắng bị đen bẩn phía sau","Negative"
"Mới chùm áo mua 1-2 bữa đèn đã xước nhoe nhoét rồi, không biết làm bằng nhựa gì nữa","Negative"
